2008-08-14 01:07:03 Notice: Notice (8): Undefined variable: isbn in [APP/views/active_listings/edit.ctp, line 14]
2008-08-14 01:07:04 Notice: Notice (8): Undefined variable: conditions in [APP/views/active_listings/edit.ctp, line 15]
2008-08-14 01:07:05 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 19]
2008-08-14 01:07:06 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 22]
2008-08-14 01:07:07 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 25]
2008-08-14 01:07:08 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 28]
2008-08-14 01:07:09 Notice: Notice (8): Undefined index:  Book in [APP/views/active_listings/edit.ctp, line 31]
2008-08-14 01:07:10 Notice: Notice (8): Undefined index:  Book in [APP/views/active_listings/edit.ctp, line 34]
2008-08-14 01:07:11 Notice: Notice (8): Undefined variable: payment_email in [APP/views/active_listings/edit.ctp, line 38]
2008-08-14 01:08:29 Notice: Notice (8): Undefined variable: isbn in [APP/views/active_listings/edit.ctp, line 14]
2008-08-14 01:08:30 Notice: Notice (8): Undefined variable: conditions in [APP/views/active_listings/edit.ctp, line 15]
2008-08-14 01:08:31 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 19]
2008-08-14 01:08:32 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 22]
2008-08-14 01:08:33 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 25]
2008-08-14 01:08:34 Notice: Notice (8): Undefined variable: salestats in [APP/views/active_listings/edit.ctp, line 28]
2008-08-14 01:08:34 Notice: Notice (8): Undefined variable: payment_email in [APP/views/active_listings/edit.ctp, line 38]
2008-08-14 01:12:27 Notice: Notice (8): Undefined variable: payment_email in [APP/views/active_listings/edit.ctp, line 39]
2008-08-14 08:03:37 Notice: Notice (8): Undefined index:  username in [APP/controllers/users_controller.php, line 247]
2008-08-14 12:23:31 Notice: Notice (8): Undefined property:  ActiveListingsController::$Security in [APP/app_controller.php, line 73]
2008-08-14 14:05:20 Notice: Notice (8): Undefined index:  buyer_student_id in [APP/controllers/sold_listings_controller.php, line 106]
2008-08-14 14:05:20 Notice: Notice (8): Undefined index:  seller_student_id in [APP/controllers/sold_listings_controller.php, line 107]
2008-08-14 14:05:55 Notice: Notice (8): Undefined index:  buyer_student_id in [APP/controllers/sold_listings_controller.php, line 106]
2008-08-14 14:05:55 Notice: Notice (8): Undefined index:  seller_student_id in [APP/controllers/sold_listings_controller.php, line 107]
2008-08-14 14:12:53 Notice: Notice (8): Undefined variable: id in [APP/controllers/sold_listings_controller.php, line 170]
2008-08-14 14:15:02 Notice: Notice (8): Undefined variable: id in [APP/controllers/sold_listings_controller.php, line 169]
2008-08-14 14:16:14 Notice: Notice (8): Undefined variable: id in [APP/controllers/sold_listings_controller.php, line 172]
2008-08-14 14:19:37 Notice: Notice (8): Undefined index:  SoldListing.listing_id in [APP/controllers/sold_listings_controller.php, line 163]
2008-08-14 14:19:37 Notice: Notice (8): Undefined property:  SoldListingsController::$ListingEvent in [APP/controllers/sold_listings_controller.php, line 164]
2008-08-14 14:22:41 Notice: Notice (8): Undefined property:  SoldListingsController::$ListingEvent in [APP/controllers/sold_listings_controller.php, line 164]
2008-08-14 14:23:24 Notice: Notice (8): Undefined index:  isbn in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 25]
2008-08-14 14:23:25 Notice: Notice (8): Undefined index:  price in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 28]
2008-08-14 14:23:26 Notice: Notice (8): Undefined index:  ListingEvent in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 41]
2008-08-14 14:23:29 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 14:24:13 Notice: Notice (8): Undefined index:  isbn in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 25]
2008-08-14 14:24:14 Notice: Notice (8): Undefined index:  price in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 28]
2008-08-14 14:24:15 Notice: Notice (8): Undefined index:  ListingEvent in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 41]
2008-08-14 14:24:17 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 14:30:57 Notice: Notice (8): Undefined index:  isbn in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 25]
2008-08-14 14:30:58 Notice: Notice (8): Undefined index:  price in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 28]
2008-08-14 14:31:00 Notice: Notice (8): Undefined index:  ListingEvent in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 41]
2008-08-14 14:31:03 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 14:35:23 Notice: Notice (8): Undefined index:  ListingEvent in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 41]
2008-08-14 14:35:27 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 14:38:43 Notice: Notice (8): Undefined index:  ListingEvent in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 41]
2008-08-14 14:38:46 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 14:39:55 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 14:41:28 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 14:43:59 Notice: Notice (8): Undefined index:  listing_id in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 47]
2008-08-14 15:53:24 Notice: Notice (8): Use of undefined constant type - assumed 'type' in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 53]
2008-08-14 20:54:14 Notice: Notice (8): Use of undefined constant type - assumed 'type' in [APP/views/sold_listings/admin_list_by_student_id.ctp, line 53]
2008-08-14 20:56:50 Notice: Notice (8): Array to string conversion in [CORE/cake/libs/model/datasources/dbo_source.php, line 567]
2008-08-15 01:24:43 Notice: Notice (8): Trying to get property of non-object in [APP/models/book.php, line 277]
2008-08-15 01:24:43 Notice: Notice (8): Trying to get property of non-object in [APP/models/book.php, line 281]
2008-08-15 01:24:43 Notice: Notice (8): Trying to get property of non-object in [APP/models/book.php, line 287]
